,Título,Número de registro,Denominação,Classificação,Local de produção,Data de produção,Autor,Material/Técnica,Dimensões - altura,Dimensões - largura,Situação,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - espessura,Dimensões - peso,Resumo descritivo,Condições de reprodução,Mídias relacionadas,ACERVO,URL,TAINACAN_COLECTION_ID
75,[São Pedro],421,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | recorte | tinta | vidro,29,"33,5",,"23,5",,,,"Cabeça de santo de roca, possivelmente da Ordem Franciscana (São Pedro?), de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto inclinado à esquerda, com carnação em tom róseo, tendo dois orifícios no topo do crânio. Figura masculina, de meia-idade, semi-calvo, com cabelos estriados em “SS”, entalhados e pintados em tom castanho escuro, tendo cacho à frente terminado em ponta. Apresenta rosto magro, orelhas aparentes em formato de “S”, testa curta com leves marcas de expressão, sobrancelhas e cílios pintados em tom castanho escuro, um olho de vidro (direito), maçãs do rosto em tom avermelhado, nariz pequeno aquilino e narinas afiladas. Barba espessa e bigode estriados e cacheados, entalhados e pintados em tom castanho escuro. Boca pequena entreaberta com língua vermelha aparente, bem como dentes da arcada superior, tendo lábios finos, pintados em tom vermelho. No rosto, recorte oval para encaixe dos olhos de vidro. Pescoço fino, tendo representação de musculatura em relevo, além de orifício na extremidade para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
76,[Nossa Senhora],422,Santa de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,39,32,,"24,5",,,,"Cabeça de santa de roca, provavelmente correspondente a Nossa Senhora, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom bege e couro cabeludo pintado em tom castanho. Figura feminina, jovem, com rosto oval, testa larga, orelhas aparentes em formato de “C”, sobrancelhas e cílios pintados em tom castanho claro e olhos vitrificados no mesmo tom. Nariz pequeno com narinas afiladas, boca pequena fechada, pintada em tom vermelho, com projeção do lábio inferior e dentes da arcada superior aparentes, e queixo duplo. Pescoço normal. Na parte inferior, haste cilíndrica e orifício para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
77,[São Pedro],423,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,"32,5","29,5",,"26,5",,,,"Cabeça de santo de roca, correspondente a um santo papa, possivelmente São Pedro, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto levemente voltado à esquerda, com carnação em tom bege e orifício no topo do crânio (possivelmente para encaixe de resplendor). Figura masculina, de meia-idade, semi-calvo, com cabelos semi-longos estriados e ondulados, em “SS”, entalhados e pintados em tom castanho escuro, com cacho terminado em ponta na parte frontal. Apresenta testa curta com marcas de expressão em relevo, orelhas aparentes, em formato de “S”, sobrancelhas, cílios pintados em tom castanho claro, olhos vitrificados, com olhar apreensivo, e nariz curto e aquilino. Apresenta ossos laterais do rosto proeminentes, boca pequena entreaberta, pintada em tom vermelho claro, com projeção do lábio inferior, além de língua e dentes da arcada superior aparentes. Barba espessa e bigode ondulados e estriados, ambos entalhados e pintados em tom castanho escuro. Pescoço longilíneo com representação da musculatura em relevo. Na extremidade inferior, pregos e haste cilíndrica para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
78,[Santo Agostinho de Hipona],424,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,41,"33,1",,23,,,,"Cabeça de santo de roca, correspondente a Santo Agostinho de Hipona ou Santo Bispo, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom róseo. Figura masculina, jovem, com cabelos curtos, estriados e levemente ondulados, entalhados e pintados em tom castanho, com franja terminada em pontas, sob solidéu em tom vermelho. Apresenta rosto magro, testa curta, orelhas aparentes em “S”, sobrancelhas e cílios pintados em tom castanho escuro, olhos pintados em tom castanho claro e maçãs em tom avermelhado. Nariz aparentemente arrebitado (parcialmente existente), barba e bigode ondulados e estriados, entalhados e pintados em tom castanho escuro, tendo extremidade da barba terminada em dois cachos. Boca pequena fechada, com projeção do lábio inferior, pintada em tom vermelho claro. Pescoço delgado. Na extremidade inferior, haste cilíndrica para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
79,[São João Batista],425,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,"37,5",35,,"28,5",,,,"Cabeça de santo de roca, correspondente possivelmente a São João Batista (?), de grandes dimensões (tamanho natural), confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom róseo. Figura masculina, jovem, com rosto oval, cabelos curtos, estriados e levemente ondulados, em “SS”, terminando em pequenos cachos e cobrindo parcialmente as orelhas, entalhados e pintados em tom castanho escuro. Apresenta sobrancelhas e cílios pintados em tom castanho escuro, olhos grandes pintados em tom castanho claro, com olhar sereno, maçãs do rosto em tom avermelhado e nariz aquilino. Boca pequena entreaberta, com dentes da arcada superior aparentes e projeção do lábio inferior, pintada em tom vermelho, e queixo duplo com reentrância. Apresenta pescoço normal.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
80,Santo Antônio de Pádua,426,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,33,"27,5",,16,,,,"Cabeça de santo [de roca], correspondente a Santo Antônio de Pádua, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom róseo. Figura masculina, jovem, com cabelos curtos, em tonsura, estriados e lisos, entalhados e pintados em tom castanho escuro, tendo franja terminada em pontas. Apresenta rosto oval, orelhas aparentes em formato de “S”, testa curta, sobrancelhas e cílios pintados em tom castanho escuro, olhos rasgados e pintados em tom castanho claro, olhar sereno, nariz arrebitado e narinas afiladas com sulcos, tendo as maçãs do rosto em tom rosado mais intenso. Boca pequena fechada com lábios finos, pintada em tom vermelho claro, e queixo arredondado. Ao redor do rosto, sombreado esverdeado. Apresenta pescoço normal. Na extremidade inferior, prolongamento em madeira com recorte retangular e orifício na parte central para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
81,São Francisco de Assis,427,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,40,"29,5",,"21,5",,,,"Cabeça de santo de roca, correspondente a São Francisco de Assis, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom bege escuro, tendo orifício no topo do crânio (possivelmente para encaixe de resplendor). Figura masculina, de meia-idade, com cabelos curtos, em tonsura, estriados e em “SS”, entalhados e pintados em tom castanho escuro. Apresenta rosto magro, testa curta, orelhas aparentes, em formato de “S”, olhos pintados em tom castanho claro, olhar sem expressão significativa, tendo marcas de expressão abaixo dos olhos. Nariz pequeno e narinas afiladas. Barba e bigode estriados e ondulados, entalhados e pintados em tom castanho escuro. Boca pequena fechada, pintada em tom vermelho, tendo projeção do lábio inferior. Pescoço longilíneo e delgado. Na extremidade inferior, haste cilíndrica para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
82,São Francisco de Assis,428,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,37,25,,"17,5",,,,"Cabeça de santo de roca, correspondente a São Francisco de Assis, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom bege escuro, tendo orifício no topo do crânio (possivelmente para encaixe de resplendor). Figura masculina, de meia-idade, com cabelos lisos estriados, com leve ondulado, em tonsura, tendo franja reta, entalhados e pintados em tom castanho escuro. Apresenta rosto magro, testa curta, orelhas aparentes, sobrancelhas, cílios e olhos pintados em tom castanho claro, com olhar apreensivo, maçãs do rosto pronunciadas e levemente avermelhadas. Nariz pequeno e aquilino, com narinas afiladas e sulcos. Barba espessa e bigode ondulados, entalhados em “SS” e pintados em tom castanho escuro. Boca normal entreaberta, pintada em tom vermelho, com dentes da arcada superior aparentes. Pescoço normal, com leve representação do “pomo de Adão” em relevo, bem como da musculatura ao redor do pescoço. Na extremidade inferior, haste cilíndrica (com orifício) para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
83,Santo Antônio de Pádua,429,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,"34,5","22,5",,"16,5",,,,"Cabeça de santo de roca, correspondente a Santo Antônio de Pádua, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom bege. Figura masculina, jovem, com cabelos curtos, em tonsura, estriados e levemente ondulados, em “SS”, entalhados e pintados em tom castanho escuro, tendo franja terminada em pontas. Apresenta rosto redondo, testa curta com marcas de expressão em relevo, orelhas pequenas aparentes, em formato de “S”, sobrancelhas e cílios pintados em tom castanho escuro, olhos pintados em tom azul claro, com olhar voltado para baixo e expressão alegre, nariz pequeno e arrebitado, com sulcos nas laterais da boca. Boca pequena entreaberta, com dentes da arcada superior aparentes e lábios pintados em tom vermelho claro, e queixo duplo. Pescoço longilíneo com leve representação do “pomo de Adão”. Na extremidade inferior, prolongamento em madeira, levemente inclinado, com recorte quadrangular e orifícios para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
84,São Luís - Rei de França,430,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,37,25,,16,,,,"Cabeça de santo de roca, correspondente a São Luís, Rei de França, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom bege escuro, tendo couro cabeludo pintado em tom marrom, além de orifício no topo do crânio (possivelmente para encaixe de coroa – esta inexistente). Figura masculina, de meia-idade, com rosto magro, orelhas aparentes em formato de “C” (orelha esquerda quebrada), testa curta com marcas de expressão, sobrancelhas curvas e cílios pintados em tom castanho escuro, olhos amendoados e pintados em tom esverdeado, com contorno em relevo e olhar estático (sem expressão significativa), nariz aquilino e narinas afiladas, com marcas de sulcos, maçãs do rosto proeminentes em tom avermelhado, bigode reto, entalhado e pintado em tom castanho escuro, bem como os pelos abaixo do lábio inferior. Ao redor do rosto, sombreado esverdeado possivelmente correspondente à barba (cont. em observações).“Boca cerrada, com lábios normais, pintada em tom vermelho claro, e queixo duplo com reentrância, em tom avermelhado. Apresenta pescoço fino, com leve representação do “pomo de Adão” em relevo. Na extremidade inferior, haste cilíndrica para encaixe na estrutura do corpo. Segundo relato do sr. José Aguilar de Paula – cidadão antigo de Diamantina – essas imagens provavelmente pertenciam à Igreja de N.Sª da Luz (fundada em 1780) ,que tinha como tradição a procissão de Quarta-Feira de Cinzas. Documentação encontrada no dossiê: 1) Ficha de Acervo Museológico GMCH/MG, em formato de fichário, assinada por Tânia Bravo Leite e por Celina Santos Barboza (1989/1990). 2) Ficha do IPHAN/ 13ª Coordenação Regional, assinada por Ronney Leite Brito, referente à Análise do Estado de Conservação do Acervo / Museus Vinculados 13ª CR, datada de 12/02/1996.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
85,Santo Antônio de Pádua,431,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,40,28,,20,,,,"Cabeça de santo de roca, correspondente a Santo Antônio de Pádua, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom bege. Figura masculina, jovem, com cabelos curtos, em tonsura, estriados e terminados em “SS”, entalhados e pintados em tom castanho escuro, tendo franja reta e costeletas terminadas em ponta. Apresenta rosto oval, orelhas aparentes em formato de “C”, testa curta, sobrancelhas e cílios pintados em tom castanho escuro, olhos amendoados e pintados em tom castanho claro, olhar sereno, nariz arrebitado e narinas afiladas. Boca fechada com lábios finos, pintada em tom vermelho claro, e queixo com reentrância. Apresenta pescoço largo, com leve representação do “pomo de Adão” em relevo. Na extremidade inferior, haste de secção quadrangular para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
86,Santa Catarina de Alexandria,432,Santa de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,44,"26,5",,21,,,,"Cabeça de santa de roca, podendo ser também identificada como “santa-de-pau-oco”, correspondente a Santa Catarina de Alexandria, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tons bege e róseo, tendo couro cabeludo pintado em tom marrom claro, além de dois orifícios no topo do crânio (possivelmente para encaixe de coroa – esta inexistente). Destaca-se na parte posterior da cabeça, lasca em formato ovalado fixada por cravo na parte central. Figura feminina, jovem, com rosto comprido e oval, orelhas aparentes em formato de “S” e em tom rosado, testa curta, cílios, sobrancelhas e olhos pintados em tom castanho escuro, olhar estático (sem grandes expressões), nariz comprido e narinas afiladas, maçãs do rosto em tom rosado, boca fechada com lábios carnudos, tendo projeção do lábio inferior, pintada em tom vermelho claro, e queixo com reentrância. (cont. em observações).“Pescoço fino com a seguinte inscrição no verso, em tinta preta: “St Cath”. Extremidade inferior da peça composta por haste cilíndrica para encaixe na estrutura do corpo. Na testa, destaca-se espécie de remendo em madeira, em formato de “borboleta”, unindo os dois lados da face. O mesmo tipo de remendo se apresenta no pescoço e outros dois remendos na lateral esquerda do rosto. Segundo relato do sr. José Aguilar de Paula – cidadão antigo de Diamantina – essas imagens provavelmente pertenciam à Igreja de N.Sª da Luz (fundada em 1780), que tinha como tradição a procissão de Quarta-Feira de Cinzas Peça provavelmente proveniente da Igreja de Nossa Senhora da Luz, localizada em Diamantina (MG) – vide Dados Complementares. Documentação encontrada no dossiê: 1) Ficha de Acervo Museológico GMCH/MG, em formato de fichário, assinada por Tânia Bravo Leite e por Celina Santos Barboza (1989/1990). 2) Ficha do IPHAN/ 13ª Coordenação Regional, assinada por Ronney Leite Brito, referente à Análise do Estado de Conservação do Acervo/ Museus Vinculados 13ª CR, datada de 13/02/1996.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
87,Nosso Senhor dos Passos,433,Cristo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,"25,1",29,,25,,,,"Cabeça de Cristo de roca, correspondente possivelmente a Nosso Senhor dos Passos, de manufatura rústica e dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom castanho, tendo o topo do crânio cortado (com interior oco) e orifício para encaixe da parte superior da cabeça (esta inexistente). Figura masculina, de meia-idade, com rosto magro e longilíneo, com parte do couro cabeludo pintado em tom preto e vestígios de representação de sangue em tinta vermelha escorrendo pela testa curta. Apresenta orelhas aparentes e parcialmente quebradas, sobrancelhas e olhos pequenos e rasgados, pintados em tom preto, nariz comprido e fino, tendo vestígios de tinta vermelha sobressaindo do olho direito. Barba longa e bigode entalhados e pintados em tom preto. Boca entreaberta, pintada em tom vermelho escuro, com um dente da arcada superior aparente. Pescoço delgado e longilíneo com quatro orifícios menores e outro central para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
88,São Francisco de Assis,434,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,41,"30,5",,23,,,,"Cabeça de santo de roca, correspondente a São Francisco de Assis, de grandes dimensões (tamanho natural), confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Objeto em posição frontal, com carnação em tom bege, tendo orifício no topo do crânio (possivelmente para encaixe de resplendor). Figura masculina, de meia-idade, com cabelos curtos, em tonsura, estriados e ondulados em “SS”, entalhados e pintados em tom castanho escuro. Apresenta testa larga com leve representação de marcas de expressão em relevo, orelhas aparentes em formato de “S”, sobrancelhas e cílios pintados em tom castanho, olhar sem expressão significativa, e maçãs do rosto em tom rosado. Nariz longo (quebrado), barba longa e bigode estriados e ondulados, entalhados e pintados em tom castanho escuro. Boca normal fechada, tendo projeção do lábio inferior, pintada em tom vermelho claro. Pescoço longilíneo. Na extremidade inferior, haste cilíndrica para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
89,[Papa São Silvestre I],435,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,douramento | entalhe | folha de ouro | madeira | policromia | tinta,60,"25,5",,,,,,"Cabeça de santo de roca, correspondente a um santo papa, possivelmente Papa São Silvestre I, de grandes dimensões (tamanho natural), confeccionada em madeira (jacarandá mineiro) entalhada, dourada e policromada. Objeto em posição frontal, de manufatura erudita, com carnação em tons bege e róseo. Figura masculina, de meia-idade, com cabelos estriados e levemente ondulados, em “SS”, terminados em cachos na parte posterior, entalhados e pintados em tom castanho claro, sob mitra papal dourada. Mitra longilínea dourada, de formato ovalado, tendo a extremidade superior dividida em três faixas com frisos simples, intercalados por volutas seriadas e semi-círculos (voltados para cima), tendo parte superior com vestígios de ornamentação fitomorfa nos tons vermelho e preto. Apresenta rosto magro e comprido, testa curta com marcas de expressão em relevo, orelhas aparentes em “S”, sobrancelhas e cílios pintados em tom castanho claro e olhos amendoados e pintados em tom verde claro. Nariz médio e maçãs do rosto rosadas. Bigode e barba longa, terminada em volutas, ondulados e estriados, ambos entalhados e pintados em tom castanho claro. Boca pequena fechada, pintada em tom vermelho claro, com lábios carnudos. Pescoço normal, com representação da musculatura em relevo ao longo do mesmo Na extremidade inferior, haste cilíndrica para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
90,São Pedro,436,Santo de roca [fragmento] (cabeça),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,douramento | entalhe | folha de ouro | madeira | policromia | tinta,54,"22,5",,,,,,"Cabeça de santo de roca, correspondente a um santo papa, possivelmente São Pedro, de dimensões médias, confeccionada em madeira (jacarandá mineiro) entalhada, dourada e policromada. Objeto em posição frontal, de manufatura erudita, com carnação em tom bege. Figura masculina, idosa, com cabelos grisalhos estriados e ondulados, em “SS”, terminados em cachos na parte posterior e com costeletas terminadas em ponta, sob mitra papal. Mitra longilínea dourada, de formato ovalado, tendo a extremidade superior dividida em três faixas com frisos simples (em duplas), intercalados por estruturas ovais e circulares nos tons azul, vermelho e dourado (na técnica de esgrafito). Nas três faixas citadas, sob fundo azul, volutas e motivos fitomorfos em relevo, tendo motivos florais pintados nos mesmos tons acima. Apresenta rosto magro, orelhas aparentes, em formato de “C”, testa parcialmente aparente, sobrancelhas em tom castanho acinzentado, cílios e olhos pequenos pintados em tom castanho escuro, olhar sereno, nariz pequeno e aquilino, com narinas afiladas e leves sulcos nas laterais. Barba longa, terminada em pontas, e bigode ondulados e estriados, ambos entalhados e pintados em tom acinzentado (grisalho). Boca pequena fechada, pintada em tom vermelho claro. Pescoço normal, com leve representação do “pomo de Adão”. Na extremidade inferior, haste de secção quadrangular, com orifícios, para encaixe na estrutura do corpo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
91,,437,Santa de roca [fragmento] (perna),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromia | tinta,"40,5",8,,,,,,"Parte inferior da perna de santa de roca, correspondente ao lado esquerdo, de dimensões grandes, confeccionada em madeira (jacarandá mineiro) entalhada e policromada. Peça de linhas simples e carnação em tom róseo, tendo, na extremidade superior, corte longitudinal e pregos atravessados. Objeto em posição vertical, com pé calçado com sapato preto, de salto baixo e ponta abaulada. Carnação pintada até a metade da panturrilha. Parte superior da peça sem policromia.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
92,,440,Santo de roca [fragmento] (pé),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromada | tinta,13,"8,7",,,,,,"Pé de santo de roca, possivelmente da Ordem Franciscana, correspondente ao lado direito (pé e tornozelo), de dimensões médias, confeccionado em madeira (jacarandá mineiro) entalhada e policromada. Peça de linhas simples e carnação em tom róseo, tendo extremidade superior com estrutura retangular para encaixe na parte inferior da perna (esta inexistente). Objeto em posição vertical, com pé e dedos longilíneos, tendo unhas bem delineadas e pintadas em tom bege. Pé calçado com sandália de solado fino (rente ao chão), composta por tira marrom escura, abaulada e espessa, disposta sobre a parte superior do pé, com terminação em ponta para encaixe entre os dedos. Ossos laterais, na altura do calcanhar, proeminentes. Carnação pintada até o tornozelo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
93,,441,Santo de roca [fragmento] (pé),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromada | tinta,11,"7,7",,,,,,"Pé de santo de roca, possivelmente da Ordem Franciscana, correspondente ao lado esquerdo (pé e tornozelo), de dimensões médias, confeccionado em madeira (jacarandá mineiro) entalhada e policromada. Peça de linhas simples e carnação em tom bege escuro e vermelho, tendo extremidade superior cilíndrica com corte retilíneo para encaixe na parte inferior da perna (esta inexistente). Objeto em posição vertical, com pé e dedos longilíneos, tendo unhas bem delineadas e pintadas em tom bege escuro. Pé calçado com sandália de solado fino (rente ao chão), composta por tira preta, abaulada e espessa, disposta sobre a parte superior do pé, com terminação em ponta para encaixe entre os dedos. Ossos laterais, na altura do calcanhar, proeminentes e em tom avermelhado. Carnação pintada até o tornozelo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
94,,442,Santo de roca [fragmento] (pé),02 Artes Visuais/Cinematográfica > 02.3 Escultura,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | policromada | tinta,"11,3","7,5",,,,,,"Pé de santo de roca, possivelmente da Ordem Franciscana, correspondente ao lado direito (pé e tornozelo), de dimensões médias, confeccionado em madeira (jacarandá mineiro) entalhada e policromada. Peça de linhas simples e carnação em tom bege escuro e vermelho, tendo extremidade superior cilíndrica com corte retilíneo para encaixe na parte inferior da perna (esta inexistente). Objeto em posição vertical, com pé e dedos longilíneos, tendo unhas bem delineadas e pintadas em tom bege escuro. Pé calçado com sandália de solado fino (rente ao chão), composta por tira preta, abaulada e espessa, disposta sobre a parte superior do pé, com terminação em ponta para encaixe entre os dedos. Ossos laterais, na altura do calcanhar, proeminentes e em tom avermelhado. Carnação pintada até o tornozelo.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
