,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - espessura,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
39,264,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas retilíneas, em estilo D. Maria I, ornada por filetes de madeira mais clara (pau-marfim), na técnica da marchetaria. Móvel sem braços, com encosto dividido em duas partes. Na parte central do encosto, apresenta três hastes delgadas horizontais, dispostas em série e ornadas por dois filetes (cada uma delas). Na parte superior do encosto, estrutura retangular vazada com ornamentação em motivos geometrizados contornados por filetes, intercalada por duas hastes horizontais ornadas por dupla de filetes em madeira mais clara. Hastes horizontais unidas a outras duas hastes verticais longilíneas, dispostas nas extremidades, ligeiramente voltadas para trás, que se prolongam para baixo, compondo as pernas traseiras do móvel. Assento em formato trapezoidal, composto por palhinha trançada. Peça apoiada sobre quatro pernas, de secção quadrangular, contornadas na parte frontal por filetes. Apresenta travejamento em “H” e pés retos.","87,6",44,,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
40,265,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas retilíneas, em estilo D. Maria I, ornada por filetes de madeira mais clara (pau-marfim), na técnica da marchetaria. Móvel sem braços, com encosto dividido em duas partes. Na parte central do encosto, apresenta três hastes delgadas horizontais, dispostas em série e ornadas por dois filetes (cada uma delas). Na parte superior do encosto, estrutura retangular vazada com ornamentação em motivos geometrizados contornados por filetes, intercalada por duas hastes horizontais ornadas por dupla de filetes em madeira mais clara. Hastes horizontais unidas a outras duas hastes verticais longilíneas, dispostas nas extremidades, ligeiramente voltadas para trás, que se prolongam para baixo, compondo as pernas traseiras do móvel. Assento em formato trapezoidal, composto por palhinha trançada. Peça apoiada sobre quatro pernas, de secção quadrangular, contornadas na parte frontal por filetes. Apresenta travejamento em “H” e pés retos.",85,"46,7",,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
41,266,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas retilíneas, em estilo D. Maria I, ornada por filetes de madeira mais clara (pau-marfim), na técnica da marchetaria. Móvel sem braços, com encosto dividido em duas partes. Na parte central do encosto, apresenta três hastes delgadas horizontais, dispostas em série e ornadas por dois filetes (cada uma delas). Na parte superior do encosto, estrutura retangular vazada com ornamentação em motivos geometrizados contornados por filetes, intercalada por duas hastes horizontais ornadas por dupla de filetes em madeira mais clara. Hastes horizontais unidas a outras duas hastes verticais longilíneas, dispostas nas extremidades, ligeiramente voltadas para trás, que se prolongam para baixo, compondo as pernas traseiras do móvel. Assento em formato trapezoidal, composto por palhinha trançada. Peça apoiada sobre quatro pernas, de secção quadrangular, contornadas na parte frontal por filetes. Apresenta travejamento em “H” e pés retos.","86,7",46,,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
42,267,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas retilíneas, em estilo D. Maria I, ornada por filetes de madeira mais clara (pau-marfim), na técnica da marchetaria. Móvel sem braços, com encosto dividido em duas partes. Na parte central do encosto, apresenta três hastes delgadas horizontais, dispostas em série e ornadas por dois filetes (cada uma delas). Na parte superior do encosto, estrutura retangular vazada com ornamentação em motivos geometrizados contornados por filetes, intercalada por duas hastes horizontais ornadas por dupla de filetes em madeira mais clara. Hastes horizontais unidas a outras duas hastes verticais longilíneas, dispostas nas extremidades, ligeiramente voltadas para trás, que se prolongam para baixo, compondo as pernas traseiras do móvel. Assento em formato trapezoidal, composto por palhinha trançada. Peça apoiada sobre quatro pernas, de secção quadrangular, contornadas na parte frontal por filetes. Apresenta travejamento em “H” e pés retos.","86,4","46,4",,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
43,268,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas retilíneas, em estilo D. Maria I, ornada por filetes de madeira mais clara (pau-marfim), na técnica da marchetaria. Móvel sem braços, com encosto dividido em duas partes. Na parte central do encosto, apresenta três hastes delgadas horizontais, dispostas em série e ornadas por dois filetes (cada uma delas). Na parte superior do encosto, estrutura retangular vazada com ornamentação em motivos geometrizados contornados por filetes, intercalada por duas hastes horizontais ornadas por dupla de filetes em madeira mais clara. Hastes horizontais unidas a outras duas hastes verticais longilíneas, dispostas nas extremidades, ligeiramente voltadas para trás, que se prolongam para baixo, compondo as pernas traseiras do móvel. Assento em formato trapezoidal, composto por palhinha trançada. Peça apoiada sobre quatro pernas, de secção quadrangular, contornadas na parte frontal por filetes. Apresenta travejamento em “H” e pés retos.","85,6","45,9",,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
44,269,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas retilíneas, em estilo D. Maria I, ornada por filetes de madeira mais clara (pau-marfim), na técnica da marchetaria. Móvel sem braços, com encosto dividido em duas partes. Na parte central do encosto, apresenta três hastes delgadas horizontais, dispostas em série e ornadas por dois filetes (cada uma delas). Na parte superior do encosto, estrutura retangular vazada com ornamentação em motivos geometrizados contornados por filetes, intercalada por duas hastes horizontais ornadas por dupla de filetes em madeira mais clara. Hastes horizontais unidas a outras duas hastes verticais longilíneas, dispostas nas extremidades, ligeiramente voltadas para trás, que se prolongam para baixo, compondo as pernas traseiras do móvel. Assento em formato trapezoidal, composto por palhinha trançada. Peça apoiada sobre quatro pernas, de secção quadrangular, contornadas na parte frontal por filetes. Apresenta travejamento em “H” e pés retos.","85,5","46,6",,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
45,270,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas retilíneas, em estilo D. Maria I, ornada por filetes de madeira mais clara (pau-marfim), na técnica da marchetaria. Móvel sem braços, com encosto dividido em duas partes. Na parte central do encosto, apresenta três hastes delgadas horizontais, dispostas em série e ornadas por dois filetes (cada uma delas). Na parte superior do encosto, estrutura retangular vazada com ornamentação em motivos geometrizados contornados por filetes, intercalada por duas hastes horizontais ornadas por dupla de filetes em madeira mais clara. Hastes horizontais unidas a outras duas hastes verticais longilíneas, dispostas nas extremidades, ligeiramente voltadas para trás, que se prolongam para baixo, compondo as pernas traseiras do móvel. Assento em formato trapezoidal, composto por palhinha trançada. Peça apoiada sobre quatro pernas, de secção quadrangular, contornadas na parte frontal por filetes. Apresenta travejamento em “H” e pés retos.","85,3",46,,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
46,271,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas retilíneas, em estilo D. Maria I, ornada por filetes de madeira mais clara (pau-marfim), na técnica da marchetaria. Móvel sem braços, com encosto dividido em duas partes. Na parte central do encosto, apresenta três hastes delgadas horizontais, dispostas em série e ornadas por dois filetes (cada uma delas). Na parte superior do encosto, estrutura retangular vazada com ornamentação em motivos geometrizados contornados por filetes, intercalada por duas hastes horizontais ornadas por dupla de filetes em madeira mais clara. Hastes horizontais unidas a outras duas hastes verticais longilíneas, dispostas nas extremidades, ligeiramente voltadas para trás, que se prolongam para baixo, compondo as pernas traseiras do móvel. Assento em formato trapezoidal, composto por palhinha trançada. Peça apoiada sobre quatro pernas, de secção quadrangular, contornadas na parte frontal por filetes. Apresenta travejamento em “H” e pés retos.","85,8",47,,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
47,272,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas retilíneas, em estilo D. Maria I, ornada por filetes de madeira mais clara (pau-marfim), na técnica da marchetaria. Móvel sem braços, com encosto dividido em duas partes. Na parte central do encosto, apresenta três hastes delgadas horizontais, dispostas em série e ornadas por dois filetes (cada uma delas). Na parte superior do encosto, estrutura retangular vazada com ornamentação em motivos geometrizados contornados por filetes, intercalada por duas hastes horizontais ornadas por dupla de filetes em madeira mais clara. Hastes horizontais unidas a outras duas hastes verticais longilíneas, dispostas nas extremidades, ligeiramente voltadas para trás, que se prolongam para baixo, compondo as pernas traseiras do móvel. Assento em formato trapezoidal, composto por palhinha trançada. Peça apoiada sobre quatro pernas, de secção quadrangular, contornadas na parte frontal por filetes. Apresenta travejamento em “H” e pés retos.","85,4","47,1",,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
48,273,Pires,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pires em porcelana branca, decorado por barra em tom ocre com friso interno preto. (Xícara de café, com pires, de pequenas dimensões, confeccionada em porcelana branca, extremamente fina, pintada com motivos japonaiserie e dourada. Xícara com a parte superior circular, ornada externamente por friso alaranjado e por barra decorada por cinco flores vermelhas cercadas por ramagens verdes, contornadas por friso dourado e intercaladas por cinco leques azuis com detalhes em dourado. Apresenta alça em curva ornada por friso dourado).","3,2",8,,,"6,2",,Folha de Ouro | Porcelana | Tinta,Japão,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
49,276,Licoreiro,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Licoreiro confeccionado em vidro amarelo, composto por duas garrafas com tampa e quatro copos pequenos com alça, sustentados por estrutura em metal (latão) dourado. Suporte de metal apoiado sobre quatro pés em volutas, tendo quatro círculos, dispostos dois a dois, em linhas paralelas, para encaixe das garrafas, ornados na borda por flores-de-liz recortadas e seriadas. Estrutura com quatro ganchos, dispostos dois em cada círculo superior para encaixe dos copos. Parte central em haste ornada com busto de figura feminina, em relevo, em ambos os lados, com as mãos em posição de oração e em posição frontal, tendo a cabeça encimada por alça ovalada e torsada na parte inferior e arrematada por aves de bico aberto contrapostas. Em perpendicular, na parte superior, trave em metal arrematada por dois ganchos em voluta (possivelmente para encaixe de mais outros dois copos – inexistentes). Cada copo em vidro amarelo com corpo composto por nove espécies de ""gomos"", tendo alça sinuosa e ornado externamente por decoração em relevo dourada formada por círculos encimados por volutas. Copos com a parte inferior afunilada. Garrafas em vidro amarelo, com corpo bojudo composto por nove espécies de ""gomos"", ornadas na parte superior por friso com pontilhados ladeados por meias-luas contrapostas intercaladas por folhas em relevo e em tom amarelado. Garrafas compostas por tampas com a parte inferior cilíndrica, corpo afunilado, arrematadas na parte superior por bola.",26,19,,,,,Folha de Ouro | Metal | Tinta | Vidro,Europa,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
50,277,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas singelas, em estilo eclético, com influência do estilo Biedermeier. Móvel sem braços, com encosto dividido em duas partes. Apresenta espaldar em leve curvatura, composto por duas hastes horizontais recortadas em curvas e contracurvas. Haste superior do encosto com extremidades abauladas. Assento em palhinha, de formato trapezoidal. Peça apoiada sobre quatro pernas, sendo as dianteiras em curva, com joelheiras proeminentes, e as posteriores voltadas ligeiramente para trás. Pés retos. Não apresenta travejamento.","89,5","47,2",,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
51,278,Cadeira,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cadeira confeccionada em madeira (jacarandá), de linhas singelas, em estilo eclético, com influência do estilo Biedermeier. Móvel sem braços, com encosto dividido em duas partes. Apresenta espaldar em leve curvatura, composto por duas hastes horizontais recortadas em curvas e contracurvas. Haste superior do encosto com extremidades abauladas. Assento em palhinha, de formato trapezoidal. Peça apoiada sobre quatro pernas, sendo as dianteiras em curva, com joelheiras proeminentes, e as posteriores voltadas ligeiramente para trás. Pés retos. Não apresenta travejamento.","89,5","47,2",,,,,Madeira | Palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
52,279,Oratório,“Oratório Bala”,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório de formato cilíndrico, com a parte superior afinando-se em formato de cúpula, de três níveis, arrematados superiormente por uma palmeta em forma de penacho; friso meia-cana no terço inferior e base lisa; frente com porta de duas folhas, com desenho acompanhando o formato da peça, sendo mais estreitas e pontiagudas na parte superior; por dentro tem, cada folha, uma peanha triangular na parte inferior e um relevo em forma de concheado com lingüeta na parte superior. Parte interna do oratório com arremate de concheado com palmeta na parte superior. Folhas da porta presas por par de dobradiças de ferro. Pintura em marrom esverdeado.",44,,,,"17,5",,Ferro | Madeira | Tinta,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
53,280,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório em forma de caixa retangular vertical, na madeira (externamente), de base emoldurada e frisada, seguida de parte lisa. Centro com porta de duas folhas, tendo cada uma duas almofadas rasas, de contorno em friso simples, com os cantos abatidos em ¼ de circulo; montantes lisos; fechadura com espelho losangular, liso, em metal; internamente as folhas apresentam pintura representando figuras de santos: a da esquerda com um S. Francisco de Assis, de rosto desfigurado, mãos cruzadas sobre o peito, vestido em hábito preto, cingido por cordão nodal, de pé sobre uma base em forma de console, com a superfície em azul e o bojo azul; a folha da direita com um S. João Evangelista, jovem, em posição frontal, vestido em túnica de pele de animal, cingida por laço vermelho, levando na mão esquerda um estandarte terminado em flâmula, com a inscrição preta “ EOS AGUNU DE”, e a mão direita apontando para um cordeiro, de pé junto aos seus pés; o santo encontra-se de pé em console igual ao do outro, porém em tom azul mais escuro. Parte superior em cimalha reta, escalonada em friso, com parte lisa ao centro. Frente da porta com par de pilastras retas, com triplo friso, nas cores vermelho, azul e bege, com molduras na base, terço inferior, e duas no arremate superior; coroamento em arco, continuando o feitio das pilastras, com a parte superior em triângulos de canto, em marmorizado marrom, e fecho central em forma de mísula, em azul escuro e vermelho. Fundo e laterais, em pintura imitando papel marmorizado, nos tons marrom e azul, com uma abertura superior onde se vê um pedaço de gravura com representação de uma Nossa Senhora. Na parte inferior dois consoles em formato de uma metade de taça, toda frisada e pintada de azul.",89,"56,5",,,,,Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
54,281,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório em forma de armário retangular vertical, na madeira (parte externa), de base emoldurada. Centro com porta de duas folhas, em recorte curvo na parte superior, com a parte externa lisa, de borda frisada; com molduras rebaixadas, pintadas de azul, nas quinas; internamente possui cada uma, pintura com rosto de anjo com asas azuis, na parte superior, e de compoteira azul com flores vermelhas, na parte inferior. Parte superior arremata por cimalha arqueada e frisada, arrematada por um concheado, com lingüeta central, cuja parte inferior termina sobre a cimalha. Entrada da porta com recorte em curvas, delimitado por “esses” e “cês”, pintados de ocre, branco e azul, com friso reto azul por dentro, e arremate em cimalha interrompida ao alto, onde apresenta um coroamento em três recortes semi-circulares, arrematados por três trifólios, com os cantos rebaixados em molduras. Fundo e laterais com pintura de ramos soltos com flores vermelhas; pintura de entrelaçados em xis azuis na parte inferior do fundo. Laterais externas lisas, só na madeira. Internamente possui uma base, em forma de escócia quadrangular, abaulada, pintada de branco, com pintura amarela fingindo almofadas nas faces, e a borda superior marmorizada de azul.","82,5",41,,,,,Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
55,282,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório em forma de caixa retangular vertical, trifacetada, com a base emoldurada, com resquício de marmorizado azul, com ressaltos nas quinas, onde apresenta pés recortados em forma de sapatas. Faces abertas, em forma de vitrine, contornadas por molduras frisadas, com o friso externo vermelho, e arqueadas ao alto; arestas em moldura de mísulas sobrepostas, com cantos, palmetas e flores nas junções. Parte superior em cimalha emoldurada e frisada, arqueada, marmorizada de azul, com ressaltos nas arestas, arrematados por pináculos vermelhos. Cobertura em forma de cúpula, dividida em gomos marmorizados em azul e vermelho; os gomos maiores com molduras reentrantes ao meio, onde aparece pintura de buquê de flores coloridas sobre fundo branco; arremate da cúpula em pináculo sem pintura. Fundo com pintura em azul claro, com confetes brancos, que formam espaços quadrilobulados, onde se inserem buquês de flores coloridas; possui um rebaixo ao centro (porta). Forro da cúpula em pintura azul escuro, com estrelas brancas.",87,42,,,,,Madeira | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
56,283,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório em forma de armário retangular vertical, com base lisa. Centro em porta de duas folhas, apresentando cada uma par de almofadas retangulares ressaltadas, pintadas de preto, com contorno em friso vermelho, com montantes lisos, pintados de amarelo, com o batente emoldurado; fechadura com espelho em metal, com as pontas recortadas em flor-de-lis; internamente possui pinturas figurativas nas almofadas superiores: na folha esquerda, a figura de uma Nossa Senhora, de pé sobre tufos de nuvens prateadas com a crescente, vestida de túnica branca e manto vermelho, com as mãos sobre o peito; fundo branco com nuvens na parte superior; na folha direita, a figura de Santo Antônio, em perfil, vestido com o hábito marrom, segurando com ambas as mãos o Menino Jesus; fundo branco com nuvens na parte superior; parte inferior das almofadas com a pintura de uma compoteira vermelha com flores amarelas e azuis; montantes com pintura de acantos vermelhos; Parte superior em cimalha suspensa, frisada, em marmorizado vermelho com frisos azuis; arremate em frontão de recortes curvos, delimitado por moldura com volutas, marmorizada em azul e branco, tendo ao centro um relevo de flor dourada com o miolo em guilhochês, de fundo vermelho, e no topo, uma concha estriada, em tons escuro e claro. Entrada da porta com pilastras retas nos cantos, listradas em preto e branco, com entablamento dourado, e recortes vazados em dourado, com seqüência de “esses” arrematados por acantos, que também contornam a parte superior, esta em arco delimitado por friso de listras brancas e pretas, formando dois triângulos, onde se insere uma florâcea dourada; ao meio, um fecho em forma de mísula, marmorizado de azul, com frisos vermelhos. (continua na OBS)","132,5","75,5",,,,,Folha de Ouro | Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
57,284,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório em forma de armário retangular vertical, marrom, com a base larga, emoldurada e escalonada em frisos; gavetão inferior, em almofada de borda emoldurada, com par de suportes metálicos para puxadores; segue uma moldura frisada. Centro com porta de duas folhas, tendo cada uma par de almofadas retangulares, de bordas frisadas; com batente ao meio; dobradiças em metal, com as pontas da frente em recorte de coração; internamente possui no verso de cada almofada, pintura de compoteiras com buquê de flores vermelhas, sendo a compoteira inferior esquerda em gomos azuis, com a base em acantos ocres, e flores brancas grandes, miúdas azuis e ramos verdes, com cercadura em frisos terminados em elementos fitomorfos; montantes pintados de azul claro, com fingimento de moldura em azul escuro. Parte superior em cimalha larga, escalonada em frisos, com uma faixa azul ao centro; arremate em forma de frontão curvo, delimitado nos extremos por “esses” terminados em em volutas, com conchas nos cantos; com tarja central em dois “cês”, inferiormente arremata por duas palmas e, superiormente, por palmeta; centro com relevo de três cravos. Interiormente, possui uma estrutura retabular, com sustentação em par de pilastras douradas, de bases emolduradas, com fustes em duas mísulas sobrepostas, revestidas por acantos e concheados (inferior) e pendão de flores (superior), com capitel compósito, entablamento em escalonado de frisos, em marmorizado vermelho e dourado; renda da tribuna em recorte curvo, emoldurado e dourado, com volutas, revestido por acantos, com pendão de flores na parte superior. Coroamento em dossel arqueado e dourado, arrematado por lambrequins contornado por frisos dourados, com cortinado vermelho preso nos cantos; canto com mísulas revestidas por acantos; arremate superior em duas palmas, com concheado nos cantos e flor central. Fundo com pintura formando tufos de nuvens circunscritos um dentro do outro, com resquício de raionado ao meio. Laterais internas e forro com resquícios de pintura em branco e azul. Laterais externas lisas, pintadas de marrom.",273,55,,,,,Folha de Ouro | Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
58,285,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório em forma de armário retangular vertical, na madeira (externamente), com a base estreita, emoldura. Centro com porta de duas folhas, lisas, com as bordas arredondadas, fechas por trinco de metal em forma de gancho, localizado ao meio. Faces internas com pinturas representando a Via-Crucis: na folha da esquerda, três passagens com o Cristo da Agonia (alto), vestido de túnica clara, ajoelhado sobre um monte dourado, tendo a visão do cálice, também dourado, ao alto; o Cristo da Prisão (centro), vestido do mesmo jeito, de pé sobre um monte dourado, com as mãos atadas por uma corda; o Cristo da Coluna (abaixo), semi-nu, de pé sobre um monte dourado, amarrado em uma coluna marmorizada de azul; na folha direita, também três passagens, com o Cristo carregando a Cruz (alto), de túnica branca, de joelhos sobre um monte dourado, sendo ajudado por um homem trajando vestes e gorro vermelho; O Ecce Homo (centro), com o Cristo de pé sobre um monte dourado, semi-nu, de capa vermelha, segurando um ramo de cana, tendo parte de um homem vestido de azul por trás, e outro, vestido de vermelho, na janela de uma construção; o Cristo da Cana-Verde ou Pedra Fria (abaixo), sentado sobre um bloco de pedra quadrada apoiada sobre monte dourado, semi-nu, com coroa de espinhos, segurando um ramo de cana, com uma construção ao lado. Todas as passagens encontram-se emolduradas por uma espécie de janela em traços azuis, arrematadas por concheado dourado, de onde pendem ramos com flores vermelhas; o fundo é branco. Parte superior do oratório em cimalha reta e larga, escalonada em molduras e frisos, na madeira. Enquadramento da porta em friso dourado, com a entrada em duas pilastras retas, de base em vermelho e dourado, fuste em moldura reentrante dourada, capitel em frisos dourado e vermelho; coroamento em arco continuando o feitio das pilastras, com os cantos em triangulo com pintura de flores em vermelho, azul, ocre e verde (ramos). Interior com as laterais e o fundo em pintura de ramos cruzados formando “xis”, com buquê de flores nas amarrações e ao meio; forro com estrelas em azul escuro.","88,8",59,,,,,Folha de Ouro | Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
