,Número de registro,Denominação,Autor,Material/Técnica,Local de produção,Data de produção,Classificação,Dimensões - altura,Dimensões - profundidade/comprimento,Dimensões - largura,Dimensões - espessura,Dimensões - diâmetro,Resumo descritivo,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
72,171,Estampa religiosa,Lemercier (impressão),papel | tinta,Paris (FRA),Séc. XIX,02 Artes Visuais/Cinematográfica > 02.4 Estampa,,,,,,"Litogravura colorida, representando sacra com o Evangelho de São João, de formato vertical, com texto inserido em estrutura de portal, com a parte superior em semi-arco, tendo ornamentação em volutas e motivos fitomorfos. Nas laterais, frisos em tom azul claro entremeados por folhas de acanto, motivos florais, volutas, escudos e ânforas, em formato de arabesco, nos tons azul, amarelo, rosa e branco. Na parte central  superior, escudo com imagem de cordeiro de Deus deitado sobre a cruz, sob fundo azul escuro. Abaixo do cordeiro, texto em latim com a seguinte inscrição, em tinta preta: ""INITIUM/ SANCTI EVANGELII/ SECUNDUM JOANNEM./ In principio erat Verbum, & Verbum erat apud Detum, & Deus erat Verbum. Hoc erat in principio apud De-/um. Omnia per ipsum facta sunt; & sine ipso factum est/ nihil, quod factum est. In ipso vita erat, & vita erat lux ho-/minum: & lux in tenebris lucet, & tenebrae eam non com-/prehenderunt. Fuit homo missus à Deo, cui nomen erat/ Joannes. Hir venit in testimonium per-/ hiberet de lumine, ut omnes crederent per illum. Nom e-/rat ille lux, sed ut testimonium perhiberet de lumine./ Erat lux vera, quae illuminat omnem hominem venientem/ in hunc mundum. In mundo erat, & mundus per ipsum/ factus est, & mundus eum non cognovit. In propria venit, & sui eum non receperunt. Quotquot autem receperunt/ eum, dedit eis potestatem filios Dei fieri, his Qui credunt/ in nomine ejus, qui non ex sanguinibus, neque ex volun-/ tate carnis, neque ex voluntate viri, sed ex Deo nati sunt./ ET VERBUM CARO FACTUM EST, & habitavit in nobis, (&/ vidimus gloriam ejus, gloriam quasi unigeniti à Patre), / plenum gratie & veritatis.""","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
73,172,Banco,Não identificado,madeira,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Banco, de manufatura rústica, confeccionado em madeira clara recortada, em estilo mineiro, de estrutura retangular. Assento em tábua única e lisa. Na parte frontal, aba com extremidades contracurvadas. Estrutura do móvel apoiada sobre dois pés, contendo detalhe recortado em curvas e contracurvas na parte inferior. Fixação através de encaixes e pregos de metal (ferro).","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
74,173,Banco,Não identificado,madeira,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Banco, de manufatura rústica, confeccionado em madeira clara recortada, em estilo mineiro, de estrutura retangular. Assento em tábua única e lisa. Apresenta abas na parte frontal e posterior recortadas, com extremidades contracurvadas. Estrutura do móvel apoiada sobre três pés, contendo detalhe recortado em formato de ogiva na parte inferior. Fixação através de encaixes e pregos de metal (ferro).","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
75,174,Placa comemorativa,Oficinas Christiano Ottoni,metal,Belo Horizonte (MG),Séc. XX,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,,,,,,"Placa comemorativa, de formato retangular e horizontal, fundida em bronze, com as seguintes inscrições, em baixo-relevo: ""HOMENAGEM DA/ ESCOLA DE ENGENHARIA/ DA/ UNIVERSIDADE DE MINAS GERAIS/ AO SEU PATRONO/ CONSº CHRISTIANO BENEDICTO OTTONI/ AO SEU PATRONO/ CHRISTIANO BENEDICTO OTTONI, AO ENSEJO DAS COMEMORAÇÕES DO/ SESQUICENTENÁRIO DO SEU NASCIMENTO/ XXI-V-MDCCCXI XXI-V-MCMLXI/ OFICINAS ""CHRSTIANO OTTONI""/ BELO HORIZONTE"". Na parte superior esquerda, emblema circular dentado com símbolo da Escola de Engelharia (livro com inscrição, na parte central: ""SCIENCIA/ ET/ LABOR"", além de machadinha e instrumento de medição) circundado por friso e outra inscrição: ""UNIVERSIDADE DE MINAS GERAIS * ESCOLA DE ENGENHARIA"". Fundo em tom escuro.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
76,175,Placa comemorativa,Oficinas Christiano Ottoni,metal,Minas Gerais,Séc. XX,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,,,,,,"Placa comemorativa, de formato retangular e horizontal, fundida em metal (bronze), com as seguintes inscrições, em baixo-relevo: ""AQUI NASCEU EM/ 21 DE MAIO DE 1811/ CHRISTIANO BENEDICTO OTTONI"". Apresenta bordas emolduradas nos quatro vértices com friso que acompanha toda a peça, além de quatro pinos de fixação à parede. Fundo em tom escuro.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
77,176,Bateia,Não identificado,madeira,Minas Gerais,Séc. XIX,06 Trabalho > 06.6 Equipamento de Mineração,,,,,,"Bateia confeccionada em madeira (jacarandá mineiro), de dimensões médias e formato circular, tendo fundo cônico que permite a separação do cascalho do metal (ouro) após a movimentação manual do objeto , em parte da borda, pequena tira de madeira colada. Borda levemente abaulada. Ao centro da peça, veios do tronco da madeira aparentes. ","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
78,177,Bateia,Não identificado,madeira,Minas Gerais,Séc. XIX,06 Trabalho > 06.6 Equipamento de Mineração,,,,,,"Bateia confeccionada em madeira (jacarandá mineiro), de pequenas dimensões e formato circular, tendo fundo levemente cônico, que permite a separação do cascalho do metal (ouro) após a movimentação manual do objeto  ligeiramente abaulada.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
79,178,Bateia,Não identificado,madeira,Minas Gerais,Séc. XIX,06 Trabalho > 06.6 Equipamento de Mineração,,,,,,"Bateia confeccionada em madeira (cedro), de grandes dimensões e formato circular, tendo fundo cônico, que permite a separação do cascalho do metal (ouro) após a movimentação manual do objeto  ligeiramente abaulada. No fundo, a inscrição marcada a ferro: ""JS"".","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
80,179,Mesa,,madeira,,,05 Interiores > 05.5 Peça de Mobiliário,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
81,180,Mesa de encostar,Não identificado,madeira,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Mesa [de encostar],  I,  confeccionada em madeira (jacarandá), de formato retangular, com tampo emoldurado por filete em madeira mais escura (marchetaria) e abas salientes. Apresenta uma gaveta com duas almofadas de estrutura hexagonal e extremidades abauladas, tendo puxadores com terminação em botão (marchetaria - madeira: pau-marfim). Ao centro, abertura recortada para encaixe do espelho de fechadura (inexistente). Peça sustentada sobre quatro pernas de estrutura retilínea, de secção octogonal, e pés retos. Sem travejamento.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
82,181,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santo [de roca ou de vestir], confeccionado em madeira entalhada e policromada, representando Santo Elias. Escultura em tamanho natural, com corpo em armação composta por cinco tábuas finas. Braços esculpidos com dupla articulação (ombro e cotovelo) e parte inferior da pernas esculpidos. Figura masculina, de pé, em posição frontal, com cabelos ondulados em tonsura, no tom castanho, orelhas aparentes, olhos, sobrancelhas e cílios pintados em tom preto, barba semi-longa, em tom castanho. Apresenta nariz comprido e fino e boca fechada, com lábios pintados de vermelho, tendo projeção do lábio inferior. Mãos com dedos alongados. Pintura com carnação nas partes esculpidas (cor da pele). Pés finos em posição reta. Base circular com as tábuas verticais da estrutura do corpo do santo presas por cravos. Traja hábito carmelita (em tecido), de mangas compridas, em tom marrom sobreposto por manto com gola branco.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
83,182,Cruz (de banqueta),,,,,09 Objetos Cerimoniais > 09.3 Objeto de Culto,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
84,183,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santa [de roca ou de vestir], confeccionada em madeira entalhada e policromada, representando Santa Bona. Escultura em tamanho natural, com parte do corpo (do quadril aos pés) em armação composta por cinco tábuas finas e um eixo cilíndrico central, além de braços esculpidos com dupla articulação (ombro e cotovelo) e sapatos esculpidos e pintados de preto. Figura feminina, de pé, em posição frontal, com espaço do cabelo pintado de marrom, testa larga, olhos pintados de azul, nariz fino, boca entreaberta com dentes da arcada superior aparentes e queijo proeminente. Mãos pequenas com dedos longos e finos. Mão esquerda com dedos posicionados para segurar atributo: uma cruz (em madeira escura). Pintura com carnação (rósea) nas partes esculpidas. Base ovalada com as tábuas verticais da estrutura do corpo da santa presas por cravos. Traja hábito franciscano (em tecido) composto por túnica cintada preta, de mangas compridas, além de toca e peitoral em renda brancos, sobrepostos por manto preto. No peito da escultura, a inscrição, em tinta preta: ""S. BONA""","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
85,184,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santo [de roca ou de vestir], confeccionado em madeira entalhada e policromada, representando São Lúcio. Escultura em tamanho natural, com parte do corpo (do quadril aos pés) em armação composta por cinco tábuas finas verticais e duas tábuas pequenas posicionadas horizontalmente sobre a base, além de braços esculpidos com dupla articulação (ombro e cotovelo) e sapatos esculpidos e pintados de preto. Figura masculina, de pé, em posição frontal, com rosto ovalado, tez com carnação rósea, cabelos entalhados e pintados em marrom, orelhas aparentes, cílios, sobrancelhas, bigode e cavanhaque pintados de preto. Olhos pintados em tom esverdeado, nariz fino, rugas bem marcadas sobre o bigode, boca entreaberta  com lábios pintados em tom vermelho e dentes da arcada superior aparentes, e queixo proeminente. No peito, a inscrição em tinta preta: ""SAN LUCIO"". Antebraços esculpidos com mãos finas e dedos longos. Mão direita segura atributo: uma cruz latina confeccionada em madeira escura. Sapatos esculpidos e pintados de preto. Base ovalada com as tábuas verticais da estrutura do corpo da santa presas por cravos. Traja hábito franciscano (em tecido), composto por túnica preta, de mangas compridas, sobreposta por manto com gola também preto. Apresenta peruca curta feita de cabelos naturais castanhos e lisos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
86,185,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santo [de roca ou de vestir], confeccionado em madeira entalhada e policromada, representando São José Cupertino. Escultura em tamanho natural, com parte do corpo (do quadril aos pés) em armação composta por seis tábuas finas verticais, além de braços esculpidos com dupla articulação (ombro e cotovelo), pernas esculpidas, com articulação nos joelhos, e sapatos esculpidos e pintados de preto. Figura masculina, agachada, em posição frontal, com joelho direito à frente, tendo rosto ovalado, tez com carnação rósea, parcialmente careca, apresentando cabelos ondulados e estriados, pintados em marrom, e orelhas parcialmente aparentes. Sobrancelhas e olhos pintados em tom castanho, nariz longo e levemente achatado, boca entreaberta, com lábios pintados em tom vermelho e dentes da arcada superior aparentes, e queixo proeminente. Tez com carnação rósea. Cabeça com encaixe no dorso (este sem carnação), que se prolonga até a cintura. Perna direita esculpida e com articulação no joelho. Perna esquerda apoiada sobre o joelho (parte referente à coxa inexistente) com o pé voltado para trás. Sapatos esculpidos e pintados de preto. Antebraço direito esculpido, com mão grande. Antebraço esquerdo com mão em posição reta. Base abaulada com eixo central de madeira com estrutura de encaixe quadrangular vazada. Tábuas verticais da estrutura do corpo do santo presas por cravos. Traja hábito franciscano (em tecido), composto por túnica marrom e capuz (separado), de mangas compridas, amarrada por cíngulo em cordão branco.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
87,186,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santa [de roca ou de vestir], confeccionada em madeira entalhada e policromada, representando Santa Isabel de Hungria. Escultura em tamanho natural, com parte do corpo (da cintura aos pés) em armação composta por oito tábuas finas verticais, sendo duas delas esculpidas compondo a parte inferior das pernas e os pés calçados com botas pretas. Braços esculpidos com dupla articulação (ombro e cotovelo). Tez com carnação esbranquiçada até o pescoço, além de antebraços e mãos. Figura feminina, de pé, em posição frontal, com cabelo pintado em tom marrom, rosto ovalado, orelhas aparentes, sobrancelhas e contorno dos olhos pintados em tom marrom, olhos em tom esverdeado, nariz fino, boca fechada, tendo lábios com vestígios de tinta vermelha, e queixo duplo. Apresenta chagas pintadas em tom vermelho na sua mão direita. No tronco esculpido, busto bem marcado. Possui peruca semi-longa de cabelos naturais em tom castanho escuro. Traja túnica preta (em tecido), de mangas compridas, sobreposta por manto no mesmo tom com bordado dourado e capa real com ornamentação floral e apliques fitomorfos em tons prata, verde e vermelho. Base octogonal.  Encontra-se acompanhada por atributos (modernos): prato, xícara, colher e garfo, em madeira purpurinada.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
88,187,Santo de roca,Não identificado,madeira | papier machê | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Escultura [de roca ou de vestir], confeccionada em madeira entalhada e policromada, representando ""O Pobre"", que acompanha a Santa Isabel de Hungria na Procissão de Cinzas. Escultura de médio porte, com corpo esculpido em sua totalidade, apresentado braços em dupla articulação (ombro e cotovelo). Pernas com articulação nos joelhos. Figura masculina, jovem, de pé, em posição frontal, com cabelo curto pintado, rosto ovalado, orelhas aparentes, sobrancelhas e olhos castanhos, nariz pequeno e boca fechada com lábios em tom vermelho. Tez com carnação rósea. Mão direita espalmada e mão esquerda segurando cajado em madeira clara, guarnecido na extremidade por trouxa em tecido branco (com enchimento). Dedos finos e longos. Pés descalços, levemente desproporcionais com relação ao tamanho das mãos, destacando-se os dedos maiores. Traja chapéu em papier mâché branco com corda, camisa branca sobreposta por paletó em tecido marrom ornado por quadrados contornados de preto.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
89,188,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santa [de roca ou de vestir], confeccionada em madeira entalhada e policromada, representando Santa Maria Madalena. Escultura em tamanho natural, com parte da estrutura do corpo (do quadril aos pés) em armação composta por quatro tábuas espessas verticais. Braços esculpidos com dupla articulação (ombro e cotovelo), tendo os antebraços esculpidos. Mãos grandes com dedos grossos, assim como os pés, que se apresentam descalços. Tez com carnação esbranquiçada até o pescoço, além de antebraços, mãos e pés. Figura feminina, jovem, ajoelhada, em posição frontal, com  a cabeça levemente caída à sua esquerda, cabelo pintado em tom marrom, rosto ovalado, orelhas aparentes, sobrancelhas, cílios e olhos pintados em tom castanho escuro, nariz e boca grandes, tendo lábios carnudos pintados em tom vermelho. No tronco esculpido, busto bem marcado. Possui peruca semi-longa, de cabelos lisos naturais, em tom castanho escuro. Traja vestido (em tecido) de mangas compridas, em tom azul claro, decorado com motivos fitomorfos verdes e anágua branca com borda  em formato oval com duas ripas horizontais de sustentação. Pés soltos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
90,189,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santo [de roca ou de vestir], confeccionada em madeira entalhada e policromada, representando São Luis, Rei de França. Escultura em tamanho natural, com parte da estrutura do corpo (da cintura aos pés) em armação composta por eixo central em madeira e oito tábuas finas verticais, sendo duas delas esculpidas compondo a parte inferior das pernas e os pés calçados com botas pretas. Braços esculpidos com dupla articulação (ombro e cotovelo), apresentando dedos finos e unhas bem definidas. Tez com carnação em tom bege até o pescoço, antebraços e mãos. Figura masculina, jovem de pé, em posição frontal, com orelhas aparentes, sobrancelhas pretas pintadas, cílios e olhos em tom castanho, nariz longo, bigodes esculpidos em tom preto, boca com arcada dentária superior aparente e lábios em tom vermelho. Possui peruca semi-longa de cabelos naturais pretos. Traja roupa em tecido composta por camisa branca, de mangas compridas, sobreposta por túnica (com botões) e manto pretos, além de gravata e capa real brancos em brocado e com renda. Base recortada com vestígios de tinta vermelha.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
91,190,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santa [de roca ou de vestir], confeccionada em madeira entalhada e policromada, representando Rainha dos Anjos. Escultura em tamanho natural, com parte da estrutura do corpo (do quadril aos pés) em armação composta por eixo central cilíndrico e oito tábuas finas verticais, sendo duas delas esculpidas compondo as pernas e os pés calçados com sapatos pretos. Braços esculpidos com dupla articulação (ombro e cotovelo). Tez com carnação esbranquiçada até o pescoço, antebraços e mãos. Tronco com cintura e busto bem marcados, pintados de branco. Figura feminina, jovem, de pé, em posição frontal, com cabelo pintado em tom preto, rosto ovalado e bochechas rosadas e orelhas aparentes com furos para encaixe de brincos (que se encontram na Reserva Técnica). Apresenta sobrancelhas, cílios e olhos pintados em tom preto, nariz fino e boca pequena fechada, com lábios em tom vermelho, queijo proeminente e pescoço fino. Mãos com dedos longos. Base ovalada. Possui peruca semi-longa, de cabelos naturais cacheados em tom castanho escuro. Apresenta coroa em metal com friso perolado e pedras coloridas (vermelhas, verdes e brancas) e misangas. Traja vestido branco em tecido brocado sobre duas anáguas com renda, além de manto azul claro com bordado em material sintético prateado. Na sua mão direita segura uma cruz latina, de madeira escura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
92,191,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santa [de roca ou de vestir], confeccionada em madeira entalhada e policromada, representando Santa Rosa de Viterbo. Escultura em tamanho natural, com parte da estrutura do corpo (do quadril aos pés) em armação composta por eixo central cilíndrico e oito tábuas finas verticais, sendo duas delas esculpidas compondo as pernas e os pés calçados com sapatos pretos. Braços esculpidos com dupla articulação (ombro e cotovelo). Tez com carnação esbranquiçada até o pescoço, antebraços e mãos. No rosto carnação rosada. Figura feminina, jovem, de pé, em posição frontal, com cabelo pintado em tom marrom, orelhas aparentes com furos para encaixe de brincos (inexistentes). Apresenta sobrancelhas e cílios pintados em tom preto, nariz fino e boca fechada, com lábios em tom vermelho claro. Base recortada. Possui peruca semi-longa, de cabelos naturais lisos em tom castanho escuro. Traja túnica e manto pretos, em tecido, com bordado dourado. Na sua mão direita, carrega cruz latina em madeira escura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
93,192,Santo de roca,Não identificado,folha de ouro | madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Nossa Senhora [de roca ou de vestir], confeccionada em madeira entalhada e policromada, representando Nossa Senhora da Conceição. Escultura de tamanho médio, com parte da estrutura do corpo (do quadril aos pés) em armação composta por oito tábuas finas verticais, fixadas por pregos em base circular com vestígios de tinta azul, tendo o dorso parcialmente pintado de branco. Parte inferior das pernas esculpidas com os pés calçados com sapatos pretos com ornamentação, na parte superior, em motivos fitomorfos marrons. Tez com carnação esbranquiçada até a cintura, antebraços e mãos. Mãos grandes com dedos longos. Figura feminina, de pé, em posição frontal, com cabelo pintado em tom marrom e orifício na parte superior para encaixe de coroa (inexistente), orelhas grandes aparentes, sobrancelhas, cílios e olhos pintados em tom preto, nariz longo, boca pequena fechada, com lábios em tom vermelho claro, e queijo duplo. Escultura apoiada sobre peanha em formato de globo terrestre, em tom azul, ornada por nuvens estilizadas na parte posterior e laterais, em tom vermelho. Na parte frontal da penha, três querubins, posicionados lado a lado, estando um deles em posição frontal e os outros dois em diagonal dispostos simetricamente. Asas em tom verde, vermelho e com douramento. Tez dos querubins com carnação esbranquiçada, cabelos curtos estriados em tom preto, sobrancelhas, cílios e olhos pretos (o querubim da esquerda apresenta olhos azuis), bochechas em tom vermelho claro, narizes arrebitados, orelhas parcialmente aparentes, bocas pequenas fechadas, em tom vermelho, e queixos proeminentes. Conjunto de querubins apoiados sobre base octogonal em marmorizado nos tons vermelho, azul e branco. Traja túnica branca acetinada, em tecido, com gola rendada sob véu azul longo com borda em renda branca. Parte posterior com a seguinte inscrição, em tinta vermelha: ""Retocada/ por/ Januario Veríssimo Ottoni"".","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
94,193,Santo de roca,Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII/XIX,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,,,"Santo [de roca ou de vestir], confeccionado em madeira entalhada e policromada, representando São Francisco do Convento. Escultura de tamanho médio, com parte da estrutura do corpo (do quadril aos pés) em armação composta por sete tábuas finas verticais e uma tábua disposta na horizontal onde se encontra fixada a parte inferior dos pés descalços e esculpidos. Braços com dupla articulação (ombro e cotovelo), tendo antebraços esculpidos, mãos grandes e dedos longos. Tez com carnação esbranquiçada. Parte superior da cabeça com orifício para encaixe de atributo (inexistente). Figura masculina, ajoelhada, em posição frontal, tendo crânio alongado para trás, cabelos cacheados e estriados em tonsura e em tom preto, orelhas aparentes, sobrancelhas, cílios e olhos pretos pintados, nariz aquilino, bigodes e barba esculpidos e pintados em tom preto, boca aberta com dentes da arcada superior aparentes e lábios em tom vermelho. Dorso em madeira com parte posterior cortada  com dedos longos e carnação mais escura. Base octogonal. Traja hábito franciscano (em tecido), em tom marrom, com cíngulo torsado em cordão branco.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
